"h0" "h1" "h2" "h3" "h4" "h5" "h6" "h7" "h8" "h9" "h10" "h11" "h12" "h13" "h14" "h15" "h16" "h17" "h18" "h19" "h20" "h21" "h22" "h23" "h24" "daytype"
"2023-01-25" 31.001001 28.647999 27.696001 27.491002 28.002001 29.216001 33.516999 41.050001 46.751 49.706001 50.339999 50.791 48.252001 47.04 47.76 48.008 47.286001 47.231001 48.385 48.197 46.571999 43.321001 38.582 34.841001 31.128001 "Working day"
"2023-01-26" 31.128001 28.879999 28.416 27.885 27.85 29.011 33.555999 40.558 46.084 49.415 49.418999 49.994 47.597 46.123 47.494999 47.728001 46.639 46.68 47.593001 47.425 44.834999 41.696 37.554 33.671999 30.665 "Working day"
"2023-01-27" 30.665 28.469 27.562 27.04 27.256001 28.35 32.552999 39.707999 45.376001 48.745 49.714001 50.525999 48.676998 45.608001 46.702999 46.412 44.922001 44.652 45.954 45.827 43.675 40.379999 36.639 33.328 30.544999 "Working day"
"2023-01-28" 30.544999 28.077001 26.917 26.427001 26.152001 26.717 28.490001 31.97 34.548 37.788 39.363999 39.168 37.637999 36.197 35.214 34.618 33.873999 34.806 37.836001 38.506 37.125 34.118 31.771999 29.359 27.276 "Holiday"
"2023-01-29" 27.276 25.160999 23.644 23.108999 22.791 23.199999 24.357001 25.972 27.419001 31.441 33.386 35.038 35.321 33.005999 32.169 31.615 30.085001 30.709 34.853 36.454999 35.933 34.281999 31.919 28.908 26.277001 "Holiday"
"2023-01-30" 26.277001 24.435999 23.821 23.736999 23.888001 25.405999 31.038999 39.335001 45.490001 50.094 50.737 49.069 47.011 46.434 47.341001 48.196999 47.006 46.35 47.916001 47.656 45.521999 42.665002 38.381 34.747999 32.193999 "Working day"
"2023-01-31" 32.193999 29.711 28.63 28.406 28.531999 29.967 34.748001 41.932001 47.810001 51.224999 50.836999 49.601 47.728999 46.466 47.077001 47.449001 46.798998 46.666999 48.416 48.392001 46.589 43.421 39.093 35.385 31.901 "Working day"
"2023-02-01" 31.901 29.922001 28.74 28.372001 28.267001 29.733 34.535 41.672999 47.079999 50.062 49.686 48.699001 47.474 46.063002 47.119001 47.804001 47.483001 46.487999 48.186 47.89 46.283 43.065001 38.853 34.98 31.089 "Working day"
"2023-02-02" 31.089 29.169 27.971 27.690999 27.786999 28.818999 33.442999 41.277001 46.638 49.045 48.759 48.164999 46.936 45.353999 46.792999 46.56 45.966 45.638 47.734998 47.989999 46.028001 43.158999 38.904 34.926 31.572 "Working day"
"2023-02-03" 31.572 29.198 28.134 27.65 27.748999 29.351001 33.966 40.897001 46.292001 49.089 48.646 47.260001 44.968 43.757998 45.227 45.762999 45.273999 44.331999 46.293 46.534 44.872 41.491 37.66 34.107 30.856001 "Working day"
"2023-02-04" 30.856001 28.180001 26.747998 26.171 25.975001 26.302 28.328001 31.512001 34.034999 37.016 37.704 36.502 35.389 33.695 32.359999 33.011 32.752999 33.766 36.827001 38.198999 37.115 34.340001 31.676 29.253001 26.66 "Holiday"
"2023-02-05" 26.66 24.437999 23.414 22.906 22.497 22.998001 24.219 25.332 27.461 31.88 34.277999 34.099999 33.661 31.376 30.607001 30.105 29.583001 30.385002 34.477 35.618001 35.072999 33.365 31.142999 28.462001 25.992 "Holiday"
"2023-02-06" 25.992 24.314999 23.287 23.014999 23.299001 25.092 30.665 37.625 43.458 47.851 48.943001 48.697002 46.455 45.566998 45.571001 46.691001 46.565999 46.466 47.888 47.858999 45.785999 42.181999 37.52 33.726 30.797 "Working day"
"2023-02-07" 30.797 28.590998 27.355001 27.046999 27.346 28.687999 33.309 40.737 46.59 51.259 51.708999 50.684 47.718001 46.168 47.370999 47.648 47.081001 46.290001 48.795 48.958 46.58 43.237001 38.989001 35.280001 31.685 "Working day"
"2023-02-08" 31.685 30.047 29.061 28.508 28.728 29.987 34.634 41.772 47.962999 52.062001 51.777002 51.043999 49.671 48.925001 48.851 49.913 49.188999 48.158 50.26 50.239 48.011999 44.240001 40.041 35.731 32.372 "Working day"
"2023-02-09" 32.372 30.519999 29.331 28.775 29.068001 29.989999 34.907 42.304001 48.333001 52.119 53.424999 53.065 51.238 49.902 50.733999 50.256001 50.010001 49.161999 50.832 50.693999 48.569001 45.117999 40.205002 36.523 32.921 "Working day"
"2023-02-10" 32.921 30.606001 29.250001 28.613001 28.837998 30.379999 35.159999 42.474 48.476001 52.819001 53.408999 52.488 50.782 48.877 48.905 49.063 48.243 47.269 49.474 49.943001 47.596998 43.523999 39.137 35.639001 32.108 "Working day"
"2023-02-11" 32.108 29.540999 28.3 27.578 27.009001 27.691001 29.626001 33.458001 37.009 41.244 41.712 40.238 39.463 36.355999 34.561 35.277 34.350999 34.629 38.509 40.115 39.259999 36.652999 33.542 31.206 28.907999 "Holiday"
"2023-02-12" 28.907999 26.916 25.493 25 24.410999 24.392001 25.692999 26.702 28.851001 32.657001 34.400999 34.599 35.080001 33.294 31.942999 30.651 29.926 30.265999 34.378 36.198 35.683001 34.185001 31.974998 29.234 26.903998 "Holiday"
"2023-02-13" 26.903998 25.145 24.380999 24.06 24.567001 26.163999 31.314001 38.563 44.894002 48.61 47.622 46.725 44.348 43.308001 44.302 44.868999 45.310999 43.559999 46.481 46.907 45.076001 42.825999 38.523 34.508 30.876 "Working day"
